,endtime,follower_count,profile_views,impressions,reach
0,2023-06-03T07:00:00+0000,0,9,44,31
1,2023-06-02T07:00:00+0000,0,21,87,39
2,2023-06-01T07:00:00+0000,0,18,91,64
3,2023-05-31T07:00:00+0000,0,19,257,165
4,2023-05-30T07:00:00+0000,1,10,71,59
5,2023-05-29T07:00:00+0000,1,24,267,186
6,2023-05-28T07:00:00+0000,2,13,98,66
7,2023-05-27T07:00:00+0000,3,22,258,174
8,2023-05-26T07:00:00+0000,8,57,294,155
9,2023-05-25T07:00:00+0000,7,43,269,187
10,2023-05-24T07:00:00+0000,2,27,241,151
11,2023-05-23T07:00:00+0000,5,42,75,23
12,2023-05-22T07:00:00+0000,0,13,30,22
13,2023-05-21T07:00:00+0000,0,6,42,29
14,2023-05-20T07:00:00+0000,2,15,62,33
15,2023-05-19T07:00:00+0000,0,14,60,48
16,2023-05-18T07:00:00+0000,3,34,303,172
17,2023-05-17T07:00:00+0000,1,9,44,29
18,2023-05-16T07:00:00+0000,1,23,98,41
19,2023-05-15T07:00:00+0000,1,25,71,34
20,2023-05-14T07:00:00+0000,4,41,227,43
21,2023-05-13T07:00:00+0000,1,30,126,39
22,2023-05-12T07:00:00+0000,1,23,111,39
23,2023-05-11T07:00:00+0000,6,55,193,80
24,2023-05-10T07:00:00+0000,4,31,295,193
25,2023-05-09T07:00:00+0000,3,39,203,88
26,2023-05-08T07:00:00+0000,9,83,434,257
27,2023-05-07T07:00:00+0000,6,74,195,78
28,2023-05-06T07:00:00+0000,3,35,179,99
29,2023-05-05T07:00:00+0000,1,9,354,280
